yelp_id,name,is_closed,review_count,price,rating,distance,station_id
GWkg8PNqnN4KqonoIeVisw,Lorenzo Bistro,False,1,,5.0,1173.7186741762978,3983dd515589a80338dd44a28f5ec414
fydQV7H4p-S4tfsZm40_wg,De Ostras y Tapas,False,1,,5.0,999.96749064461,3983dd515589a80338dd44a28f5ec414
mfwL_53Wdl4212bEWJsu_A,El Lobby Millesime,False,1,,5.0,1092.3004621793393,3983dd515589a80338dd44a28f5ec414
EkJYvOEC4fpwDDuRmuTBLg,Pomeriggio Bistró,False,1,$$$,1.0,541.4667923862644,3983dd515589a80338dd44a28f5ec414
Nms5CJ7kZD49Q18KsU-SKQ,Millefleur Café Bistró,False,2,,4.0,541.4667923862644,3983dd515589a80338dd44a28f5ec414
AJWD53SZ6ITcoj_AYW7JDQ,Le Fournil,False,6,$$,4.0,958.2242704409845,3983dd515589a80338dd44a28f5ec414
p9wbHnJd5uD0UfsbJSaUfA,Tavelli,False,1,$$,4.0,1167.6744483620394,3983dd515589a80338dd44a28f5ec414
5nkk_Cjm3LK1aUVuS3Naiw,Juan Valdez,False,2,$,4.0,1034.7166274536876,3983dd515589a80338dd44a28f5ec414
DLcVdNgxa5aJMfIXFjNZMg,La Caña,False,2,$$,3.0,1074.344084751655,3983dd515589a80338dd44a28f5ec414
KmawnSIeZsav51llD6zZ7Q,Brunapoli,False,2,,2.0,544.6031933161687,3983dd515589a80338dd44a28f5ec414
0hDz3AfRgQBNLVbmb-jXZw,Maria Callas,False,1,,2.0,744.0477859034336,3983dd515589a80338dd44a28f5ec414
ACiVC7LXyjHqyrNs_5tDAw,La Fête,False,1,,3.0,541.4667923862644,3983dd515589a80338dd44a28f5ec414
5Yo7WBx7oEGSU-zmkv5MOw,Restaurant Sukalde,False,1,,3.0,300.17254156239915,3983dd515589a80338dd44a28f5ec414
0GqyxgB4_MiFigKYDMNclQ,Museo Ralli,False,1,,5.0,811.2432436566564,3983dd515589a80338dd44a28f5ec414
9qtsTBA3CZtHHTCHsiNOsg,Territorio,False,1,,2.0,962.6422477947242,3983dd515589a80338dd44a28f5ec414
BgrTycnvawTskMxM9QLbmA,Starbucks,False,1,$$,4.0,832.8542341476107,3983dd515589a80338dd44a28f5ec414
zUjsyfppBf2G2eMOT60ARQ,Moritz Eis,False,2,$$$,3.5,565.130085008456,3983dd515589a80338dd44a28f5ec414
rT1-hgqnPZN_kxGh1iBIkw,Emporio Armani Ristorante,False,1,,3.0,730.6491820703848,3983dd515589a80338dd44a28f5ec414
ejZA9S31g2ohBFgGJxyw9w,Las Bezanillas,False,1,,1.0,1032.7915409487205,3983dd515589a80338dd44a28f5ec414
275PG2F-LO8V54M2AAuQkQ,Ox Restaurant,False,16,$$$$,3.9,27.0549578403636,405a3a5ca08c7536d3eb286cf8553025
TzlctOQDGHoWbl3jr2kxng,Bautista Gourmet,False,2,,4.5,2.1518201534185897,405a3a5ca08c7536d3eb286cf8553025
DoA80AHI2YjhqemEHm9hEw,Parque Bicentenario,False,26,,4.9,264.8180069357329,405a3a5ca08c7536d3eb286cf8553025
x_DdLWauj4tkkjapr8xFrQ,Naoki,False,24,$$$$,4.5,589.0142572343002,405a3a5ca08c7536d3eb286cf8553025
jzkQARmHUZ3z3QCoWrQ0SQ,Mr. Jack,False,7,$$,4.4,157.73775662235687,405a3a5ca08c7536d3eb286cf8553025
KQ2D3gs9y0wIuTqoKOHO4w,Mestizo,False,56,$$$$,4.3,474.6456737365465,405a3a5ca08c7536d3eb286cf8553025
2XQ9o3CwRH1HZr2f_abl4Q,Köök,False,8,$$$,3.9,110.85185669117705,405a3a5ca08c7536d3eb286cf8553025
