station_id,station_name,latitude,longitude,altitude,slots,free_bikes,empty_slots,yelp_id,place_name,review_count,price,rating,distance,category_name
e1593acef03a0fd770595370586bc358,P31 - Estación Canal 13,-33.428334,-70.627312,599.0,13,6,7,cuhYTmS8dFcdRYx60wMhpw,La Gloria,19,2.0,4.5,712.840898710461,peruvian
e1593acef03a0fd770595370586bc358,P31 - Estación Canal 13,-33.428334,-70.627312,599.0,13,6,7,SYjQB4CntxSQtkmI6Ep3Vw,Puerto Bellavista,12,3.0,3.8,988.2363351126108,seafood
e1593acef03a0fd770595370586bc358,P31 - Estación Canal 13,-33.428334,-70.627312,599.0,13,6,7,GTCjahpqjFkcqVBSDSxZPw,Restaurant Santo Remedio,10,3.0,4.1,643.9187078253826,brasseries
e1593acef03a0fd770595370586bc358,P31 - Estación Canal 13,-33.428334,-70.627312,599.0,13,6,7,kA1yxj80nRxZ7_NEZ6wGyg,Merengata,3,,4.0,134.3234236137314,salad
e1593acef03a0fd770595370586bc358,P31 - Estación Canal 13,-33.428334,-70.627312,599.0,13,6,7,kA1yxj80nRxZ7_NEZ6wGyg,Merengata,3,,4.0,134.3234236137314,latin american
e1593acef03a0fd770595370586bc358,P31 - Estación Canal 13,-33.428334,-70.627312,599.0,13,6,7,xHWhdGigvP3GrdZyc-CniQ,Luco's,9,2.0,3.8,820.1595744774916,burgers
e1593acef03a0fd770595370586bc358,P31 - Estación Canal 13,-33.428334,-70.627312,599.0,13,6,7,2VZvMW76Pgsvmk536Bvndw,DonKame Yoko,6,1.0,5.0,523.0252355983787,ramen
e1593acef03a0fd770595370586bc358,P31 - Estación Canal 13,-33.428334,-70.627312,599.0,13,6,7,SbKKTkR2M3jimPD7TZYY1w,Xin Yuan,1,,4.0,150.49702730559716,chinese
e1593acef03a0fd770595370586bc358,P31 - Estación Canal 13,-33.428334,-70.627312,599.0,13,6,7,aePgSLTK25KTpqGUfgKZBA,Bravo 951,16,3.0,4.1,773.7177279255833,sandwiches
e1593acef03a0fd770595370586bc358,P31 - Estación Canal 13,-33.428334,-70.627312,599.0,13,6,7,aePgSLTK25KTpqGUfgKZBA,Bravo 951,16,3.0,4.1,773.7177279255833,burgers
e1593acef03a0fd770595370586bc358,P31 - Estación Canal 13,-33.428334,-70.627312,599.0,13,6,7,wGkjPdC4qoVYmNywXb2Pfg,Virgen del Cerro San Cristóbal,6,,5.0,629.1227618031654,local flavor
e1593acef03a0fd770595370586bc358,P31 - Estación Canal 13,-33.428334,-70.627312,599.0,13,6,7,veOqBAWM7aepBqSVO9Z25g,Kinsa,4,2.0,4.8,855.1170555599422,bars
e1593acef03a0fd770595370586bc358,P31 - Estación Canal 13,-33.428334,-70.627312,599.0,13,6,7,veOqBAWM7aepBqSVO9Z25g,Kinsa,4,2.0,4.8,855.1170555599422,chilean
e1593acef03a0fd770595370586bc358,P31 - Estación Canal 13,-33.428334,-70.627312,599.0,13,6,7,nMqI2BL9gdNfj3Na3h_AfA,Kleine Kneipe,8,2.0,4.0,506.8319673671797,sandwiches
e1593acef03a0fd770595370586bc358,P31 - Estación Canal 13,-33.428334,-70.627312,599.0,13,6,7,nMqI2BL9gdNfj3Na3h_AfA,Kleine Kneipe,8,2.0,4.0,506.8319673671797,beer bar
e1593acef03a0fd770595370586bc358,P31 - Estación Canal 13,-33.428334,-70.627312,599.0,13,6,7,O_0RUGG1svpmhdlVNrrgtw,Big Boba Bubble Tea,14,2.0,4.2,798.2651166553164,coffee & tea
e1593acef03a0fd770595370586bc358,P31 - Estación Canal 13,-33.428334,-70.627312,599.0,13,6,7,O_0RUGG1svpmhdlVNrrgtw,Big Boba Bubble Tea,14,2.0,4.2,798.2651166553164,juice bars & smoothies
e1593acef03a0fd770595370586bc358,P31 - Estación Canal 13,-33.428334,-70.627312,599.0,13,6,7,NDHFR48lj2kDW8hs4a6oGA,Punto Sushi,2,1.0,4.0,142.8841518532786,sushi bars
e1593acef03a0fd770595370586bc358,P31 - Estación Canal 13,-33.428334,-70.627312,599.0,13,6,7,7-68GEE37qW-_rGS2tldzQ,Siete Negronis,9,3.0,4.4,737.9373003591004,cocktail bars
e1593acef03a0fd770595370586bc358,P31 - Estación Canal 13,-33.428334,-70.627312,599.0,13,6,7,BsCrA52gXDmtLMozeblBXA,Dominó,3,1.0,4.7,735.1587643642698,cafeteria
e1593acef03a0fd770595370586bc358,P31 - Estación Canal 13,-33.428334,-70.627312,599.0,13,6,7,k9EHMwQLkuC9iHBYloSpZQ,La Cuisine,4,3.0,4.3,701.13789444962,bistros
e1593acef03a0fd770595370586bc358,P31 - Estación Canal 13,-33.428334,-70.627312,599.0,13,6,7,k9EHMwQLkuC9iHBYloSpZQ,La Cuisine,4,3.0,4.3,701.13789444962,french
e1593acef03a0fd770595370586bc358,P31 - Estación Canal 13,-33.428334,-70.627312,599.0,13,6,7,kBqHGf7TA4bMax7SvjQM2g,Kilkenny Irish Bar,15,2.0,3.5,911.2271645627194,irish
e1593acef03a0fd770595370586bc358,P31 - Estación Canal 13,-33.428334,-70.627312,599.0,13,6,7,kBqHGf7TA4bMax7SvjQM2g,Kilkenny Irish Bar,15,2.0,3.5,911.2271645627194,pubs
e1593acef03a0fd770595370586bc358,P31 - Estación Canal 13,-33.428334,-70.627312,599.0,13,6,7,9si72Sfc-4gT4683arTA9g,The Shamrock,6,2.0,4.0,454.95436090454496,bars
e1593acef03a0fd770595370586bc358,P31 - Estación Canal 13,-33.428334,-70.627312,599.0,13,6,7,rxt0ZpbSO1R1wHdpZPlhYA,Johnny Rockets,9,2.0,3.9,935.0374888777352,burgers
e1593acef03a0fd770595370586bc358,P31 - Estación Canal 13,-33.428334,-70.627312,599.0,13,6,7,rxt0ZpbSO1R1wHdpZPlhYA,Johnny Rockets,9,2.0,3.9,935.0374888777352,salad
e1593acef03a0fd770595370586bc358,P31 - Estación Canal 13,-33.428334,-70.627312,599.0,13,6,7,rxt0ZpbSO1R1wHdpZPlhYA,Johnny Rockets,9,2.0,3.9,935.0374888777352,cafes
e1593acef03a0fd770595370586bc358,P31 - Estación Canal 13,-33.428334,-70.627312,599.0,13,6,7,irdd3jhMTF18kv-gn1cIfg,Restaurante 040,13,,3.8,869.4805331308803,mediterranean
e1593acef03a0fd770595370586bc358,P31 - Estación Canal 13,-33.428334,-70.627312,599.0,13,6,7,irdd3jhMTF18kv-gn1cIfg,Restaurante 040,13,,3.8,869.4805331308803,seafood
e1593acef03a0fd770595370586bc358,P31 - Estación Canal 13,-33.428334,-70.627312,599.0,13,6,7,irdd3jhMTF18kv-gn1cIfg,Restaurante 040,13,,3.8,869.4805331308803,tapas/small plates
e1593acef03a0fd770595370586bc358,P31 - Estación Canal 13,-33.428334,-70.627312,599.0,13,6,7,a2HY9Rwo08JJuF00JxvhjQ,Pad Thai,14,2.0,3.5,805.5897398756049,thai
e1593acef03a0fd770595370586bc358,P31 - Estación Canal 13,-33.428334,-70.627312,599.0,13,6,7,-rbEC5j11zAH6qcl_YhHng,Le Fournil,10,2.0,3.7,728.827182591494,bakeries
e1593acef03a0fd770595370586bc358,P31 - Estación Canal 13,-33.428334,-70.627312,599.0,13,6,7,-rbEC5j11zAH6qcl_YhHng,Le Fournil,10,2.0,3.7,728.827182591494,coffee & tea
