yelp_id,category_name
0BXPEeF0zstvrstrJs1sTA,bakeries
M1xSXU0eUQPBFEiScAEDyA,desserts
-vZhzuy9yhHHY6xLYO6Mtg,german
FJcBzuQrcQkNWcfpcqcV3Q,sushi bars
FJcBzuQrcQkNWcfpcqcV3Q,nikkei
vkBsVW_2IxRx3NpRJ8Rftg,steakhouses
vkBsVW_2IxRx3NpRJ8Rftg,argentine
5ZxczpkygRmFbUOpUOoByw,bakeries
5ZxczpkygRmFbUOpUOoByw,desserts
5ZxczpkygRmFbUOpUOoByw,empanadas
Wt8fOrDOWSEZnf5_nDer4w,japanese
Qtni8AS93H71AfyDIsijZg,spanish
Qtni8AS93H71AfyDIsijZg,bars
ZKpwNAFay09AiBHPX7jdNw,italian
ZKpwNAFay09AiBHPX7jdNw,breakfast & brunch
ZKpwNAFay09AiBHPX7jdNw,coffee roasteries
CAFL80wAGOMcPrEO6uMnkA,sandwiches
Lukol5kg93RhRD0CVUBLhA,brasseries
Lukol5kg93RhRD0CVUBLhA,italian
ena69HR-tQZjtdMTC5czWw,italian
0cW9wDlhsJ3bWMwHqSwszA,peruvian
AOOUaN28bZvgBEDzIkj4dg,japanese
aowME74ICNM0ZfTpJ6E1Wg,barbeque
437LA-ciFAJrhwGAYM4jnw,pizza
RkGHoxUqXs0Wra6LWJOZag,dive bars
X0dBsthVakRaou63HNnQGw,breakfast & brunch
X0dBsthVakRaou63HNnQGw,cafes
X0dBsthVakRaou63HNnQGw,sandwiches
xa1tB_DWJp4VG1l_ON4vWA,local flavor
lrf7NrIhWJMbPAic7glsPA,thai
IEs7qK1z0I0YJzGg1Wh80g,chilean
LyUwbW2c_0TpaYLp1tY0Gg,american
LyUwbW2c_0TpaYLp1tY0Gg,barbeque
lnQV79eIner4_iWQxHbbXQ,cafes
H7bicLMvE0AQJAwKFUm_Sw,sushi bars
H7bicLMvE0AQJAwKFUm_Sw,japanese
zwtBhOE9vs9N9ztGdMv2zg,german
1SzerwTwKrCiu4BX-erZhw,peruvian
jC7YZ8AhBMWWKuVWfuExxg,cafes
jC7YZ8AhBMWWKuVWfuExxg,cafeteria
autxg7fSWTX5OFU8q2ui_g,pizza
autxg7fSWTX5OFU8q2ui_g,italian
UUIU7Ky2YMiaMGLZipPa5w,cafeteria
TmD9C8IRlvubHa-_AeK-wg,sports bars
TmD9C8IRlvubHa-_AeK-wg,mexican
oZ_pVyyyGS8mghqZ9X_NUw,french
SoTXRKlafCaia2f4qRV0rA,vegan
SoTXRKlafCaia2f4qRV0rA,vegetarian
lo8nbta9XAXYDmSNglDytA,indian
p3mt7rf0kjTtu-s5gljlVw,breakfast & brunch
p3mt7rf0kjTtu-s5gljlVw,tea rooms
FjiYC6wOgfeJigeKkkcx3Q,chilean
O7l9Iqyo2JyEyZtGfzYbeg,italian
O6DphjJO4ZM7ZN77BvRSRQ,french
59pLRU82-ycQQLDVv43OdA,vegetarian
59pLRU82-ycQQLDVv43OdA,salad
59pLRU82-ycQQLDVv43OdA,juice bars & smoothies
MG_E5OxSwGKSBXVFqskU_Q,tapas bars
MG_E5OxSwGKSBXVFqskU_Q,spanish
P0eaVPMLwFXK-RC8jB1RgQ,chilean
gwZdA1NNLTJRJsFXTOcz9Q,pizza
Wr0UV4c691fe4k7VsOLLjA,steakhouses
Wr0UV4c691fe4k7VsOLLjA,brasseries
3gubJpoDqES8X_V_ggSt4A,desserts
3gubJpoDqES8X_V_ggSt4A,bakeries
3gubJpoDqES8X_V_ggSt4A,ice cream & frozen yogurt
0rsHnKT6za4faEA_jed0kg,pubs
swu2fUDMOuIsOOiRHw16Sg,german
swu2fUDMOuIsOOiRHw16Sg,beer bar
ioWH5y3-c9AmZAsVabDwAA,burgers
ioWH5y3-c9AmZAsVabDwAA,sandwiches
AsKl_gsa4pf_hSwyuU-PEg,burgers
r-5XtmcIfY761RuRCgV7_w,latin american
r-5XtmcIfY761RuRCgV7_w,cafes
edxYitkLdWCUtI_FjjA1Yg,bakeries
edxYitkLdWCUtI_FjjA1Yg,empanadas
zA4VA6jMqqS9Q6vL3d9zRw,restaurants
pM76w-mfGEqKr_bcHJhErQ,tea rooms
